RUSSIAN,FINNISH
я,olen
не,ei
что,mitä
в,v
и,ja
ты,sinä
это,Tämä on
на,päällä
с,kanssa
он,hän
мы,me
как,Miten
вы,sinä
да,Joo
мне,minulle
у,W.
нет,Ei
меня,minä
так,Niin
но,mutta
а,a
его,hänen
все,kaikki
она,hän
тебя,sinä
о,O
если,jos
за,per
бы,olisi
тебе,sinä
они,ne
чтобы,jllek
же,Sama
есть,on
просто,yksinkertaisesti
из,peräkkäin
к,Jllek
для,varten
ну,Hyvin
когда,kun
хорошо,Ok
здесь,tässä
по,päällä
был,oli
знаю,Tiedän
то,sitten
только,vain
всё,kaikki
было,Se oli
вас,sinä
может,voi olla
нас,MEILLE
вот,tässä
от,peräkkäin
быть,olla
кто,WHO
будет,tahtoa
почему,miksi
вам,sinulle
их,heidän
очень,erittäin
могу,voi
уже,jo
спасибо,Kiitos
или,tai
нам,MEILLE
еще,vielä
там,siellä
нужно,välttämätön
сейчас,nyt
где,missä
чем,Miten
хочу,haluta
ничего,ei mitään
этого,tästä
была,oli
мой,minun
ее,hänen
ладно,Ok
знаешь,tiedät kyllä
п,Ns
до,ennen
этом,se on
потому,koska
теперь,nyt
думаю,ajatella
больше,lisää
её,hänen
со,NIIN
раз,kerran
ему,hänen
надо,välttämätön
время,aika
этот,Tämä
ли,Valehdella
ещё,vielä
пока,sillä aikaa
даже,jopa
привет,Hei
сказал,sanoi
себя,itse
должен,pitäisi
тоже,liian
хочешь,haluta
давай,Katsotaanpa
что-то,jotain
никогда,ei milloinkaan
эй,Hei
того,Mennä
тогда,sitten
него,Hänen
ни,n.
тут,tässä
были,olivat
конечно,Varmasti
правда,totuus
об,noin
моя,minun
пожалуйста,ole kiltti
тобой,sinä
сказать,kertoa
сегодня,tänään
один,yksi
лучше,paremmin
можешь,voi
сюда,tässä
мной,minä
значит,keino
сделать,tehdä
всегда,aina
дело,bisnes
можно,voi
ей,hänen
должны,on pakko
порядке,Tilaus
без,ilman
день,päivä
том,määrä
буду,tahtoa
делать,tehdä
хотел,Halusi
чего,mitä
эти,nämä
много,monet
после,jälkeen
этим,että
всего,Kaikki yhteensä
во,sisään
твой,on sinun
ним,Nim
лет,vuosia
боже,Jumala
них,niitä
сэр,hyvä herra
ведь,kuitenkin
мистер,Mister
жизнь,elämä
потом,jälkeen
ней,hänen
такой,sellainen
который,joka
всех,Kaikki
через,koko
им,niitä
возможно,Voi olla
немного,Vähän
такое,että
слишком,liian paljon
себе,Itselleni
зачем,miksi
должна,pitäisi
моей,Minun
люди,ihmiset
знаете,tietää
этой,Tämä
думаешь,Ajatella
свою,minun
точно,varmasti
человек,ihmisen
твоя,sinun
под,alla
сказала,sanoi
назад,takaisin
из-за,johdosta
эту,Tämä
можем,Voi
случилось,Se tapahtui
мама,Äiti
мог,Voisi
вместе,yhdessä
отец,isä
сделал,tekei
мои,minun
кажется,tuntuu
друг,ystävä
куда,missä
никто,ei kukaan
поэтому,siksi
эта,Tämä
которые,joka
два,kaksi
тот,että
сколько,Miten
понимаю,Ymmärtää
снова,uudelleen
жизни,Elämä
нравится,Kuten
людей,ihmisistä
помочь,auta
видел,näin
люблю,rakastan
хочет,haluaa
место,paikka
знать,tietää
кто-то,joku
прости,pahoillani
отлично,Loistava
похоже,näyttää
парень,kaveri
домой,Koti
всем,Kaikki
деньги,raha
иди,Idi
времени,ajasta
дома,kotona
именно,tarkalleen
доктор,lääkäri
думал,ajatus
говорил,paitsi
делаешь,tehdä
будем,Me
прямо,suoraan
стоит,kustannukset
поговорить,puhua
найти,löytö
разве,ei
слушай,kuunnella
своей,hänen
лишь,vain
ага,Joo
можете,Sinä pystyt
простите,pahoillani
хотела,halusi
сам,itse
что-нибудь,jotain
тем,Huippu
будешь,Tulet olemaan
прошу,pyydän
три,kolme
деле,liiketoiminta
хотите,haluta
говорить,puhua
давайте,Katsotaanpa
совсем,ollenkaan
знал,tiesi
знает,tietää
какой,joka
моего,Kaivos
скажи,kertoa
дом,Talo
дела,Asianajaja
вами,sinä
свои,heidän
ж,J.
говорит,puhuu
несколько,useat
должно,on pakko
про,pro
ваш,sinun
